data_type,file_name,zip_name,download_date,table_name,description,number_of_rows,origin,data_last_updated,url
grant,raw_gender_12292020,raw_gender_12292020.tsv.zip,2021-11-04,"rawgender
			zip: 42.7 MiB, tsv: 188.4 MiB","Gender assignment on disambiguated inventor data through March 30, 2021. Methods Report",4305415,raw,"April 14, 2020",https://s3.amazonaws.com/data.patentsview.org/download/raw_gender_12292020.tsv.zip
grant,rawlawyer,rawlawyer.tsv.zip,2021-11-04,"rawlawyer
			zip: 461.9 MiB, tsv: 934.7 MiB",Raw lawyer information as it appears in the source text and XML files,8861121,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rawlawyer.tsv.zip
grant,rawlocation,rawlocation.tsv.zip,2021-11-04,"rawlocation
			zip: 1.0 GiB, tsv: 3.0 GiB","Raw location data for inventors and assignees, as it appears in xml and text source files",30950739,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rawlocation.tsv.zip
grant,rel_app_text,rel_app_text.tsv.zip,2021-11-04,"rel_app_text
			zip: 219.1 MiB, tsv: 938.5 MiB",Related applications text,2076786,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rel_app_text.tsv.zip
grant,subclass,subclass.tsv.zip,2021-11-04,"subclasszip: 599.4 KiB, tsv: 2.6 MiB",Lookup table of original USPC subclasses (as of patent publication date),272541,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/subclass.tsv.zip
grant,subclass_current,subclass_current.tsv.zip,2021-11-04,"subclass_current
			zip: 2.1 MiB, tsv: 7.3 MiB",Lookup table of current USPC subclasses (applied retrospectively to all patents),168048,raw (from separate classification files),"August 11, 2021",https://s3.amazonaws.com/data.patentsview.org/download/subclass_current.tsv.zip
grant,us_term_of_grant,us_term_of_grant.tsv.zip,2021-11-04,"us_term_of_grant
			zip: 93.4 MiB, tsv: 220.8 MiB",U.S. term of grant data,3862834,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/us_term_of_grant.tsv.zip
grant,usapplicationcitation,usapplicationcitation.tsv.zip,2021-11-04,"usapplicationcitation
			zip: 2.0 GiB, tsv: 5.8 GiB",Citations made to US patent applications by US patents,48925191,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/usapplicationcitation.tsv.zip
grant,uspatentcitation,uspatentcitation.tsv.zip,2021-11-04,"uspatentcitation
			zip: 4.4 GiB, tsv: 11.4 GiB",Citations made to US granted patents by US patents,119174918,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/uspatentcitation.tsv.zip
grant,uspc,uspc.tsv.zip,2021-11-04,"uspc
			zip: 490.5 MiB, tsv: 963.6 MiB",USPC classification data for all patents,18061361,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/uspc.tsv.zip
grant,uspc_current,uspc_current.tsv.zip,2021-11-04,"uspc_current
			zip: 619.0 MiB, tsv: 1.2 GiB",Current USPC classification data for all patents up to May 2015,22852958,raw (from separate classification files),"August 11, 2021",https://s3.amazonaws.com/data.patentsview.org/download/uspc_current.tsv.zip
grant,usreldoc,usreldoc.tsv.zip,2021-11-04,"usreldoc
			zip: 400.4 MiB, tsv: 1.2 GiB",U.S. related documents (post-2005 patents only),11989788,raw,"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/usreldoc.tsv.zip
grant,wipo,wipo.tsv.zip,2021-11-04,"wipo
			zip: 29.4 MiB, tsv: 166.8 MiB",WIPO technology fields for all patents,10437469,raw (from separate classification files),"October 8, 2021",https://s3.amazonaws.com/data.patentsview.org/download/wipo.tsv.zip
grant,wipo_field,wipo_field.tsv.zip,2021-11-04,"wipo_fieldzip: 1.5 KiB, tsv: 3.7 KiB500 bytes",Lookup table of WIPO technology fields,70,raw (from separate classification files),"August 11, 2021",https://s3.amazonaws.com/data.patentsview.org/download/wipo_field.tsv.zip
