ipc_class,records
A21: Baking,2218.0
G06: Computing,1209.0
A23: Foods Or Foodstuffs,1058.0
B65: Conveying,903.0
 A23: Foods Or Foodstuffs,785.0
A47: Furniture,645.0
 B65: Conveying,480.0
 H05: Electric Techniques Not Otherwise Provided For,456.0
H04: Electric Communication Technique,427.0
 H04: Electric Communication Technique,320.0
