title_nlp_multiword_phrases,records
Digital Map System,10
conversion Path Performance Measures,9
Search Results,7
Mobile Device,6
 Location Prominence,4
 Processing Queries,4
Geographical Relevance,4
Local Search Results,4
Network Speech Recognizers,4
Search Query,4
 indexing Documents,3
 providing Profile Information,3
 search Query Categorization,3
 Search Ranking,3
aspect-Based Sentiment Summarization,3
