ipc_class,records
G06: Computing,95
G01: Measuring,14
 G09: Educating,11
 G06: Computing,10
 H04: Electric Communication Technique,10
H04: Electric Communication Technique,7
G10: Musical Instruments,6
 G08: Signalling,1
 G10: Musical Instruments,1
A63: Sports,1
