data_type,file_name,zip_name,download_date,table_name,description,number_of_rows,origin,update_version,url
grant,rawinventor,rawinventor.tsv.zip,2022-03-15,"rawinventor


zip: 1.1 GiB
tsv: 2.2 GiB",Raw inventor information as it appears in the source text and XML files,19378853,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rawinventor.tsv.zip
grant,rawlawyer,rawlawyer.tsv.zip,2022-03-15,"rawlawyer


zip: 470.2 MiB
tsv: 977.4 MiB",Raw lawyer information as it appears in the source text and XML files,9051384,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rawlawyer.tsv.zip
grant,rawlocation,rawlocation.tsv.zip,2022-03-15,"rawlocation


zip: 1.0 GiB
tsv: 3.1 GiB","Raw location data for inventors and assignees, as it appears in xml and text source files",31406248,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rawlocation.tsv.zip
grant,rel_app_text,rel_app_text.tsv.zip,2022-03-15,"rel_app_text


zip: 221.6 MiB
tsv: 954.4 MiB",Related applications text,2108214,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/rel_app_text.tsv.zip
grant,subclass,subclass.tsv.zip,2022-03-15,"subclass


zip: 599.4 KiB
tsv: 2.6 MiB",Lookup table of original USPC subclasses (as of patent publication date),272546,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/subclass.tsv.zip
grant,subclass_current,subclass_current.tsv.zip,2022-03-15,"subclass_current


zip: 2.1 MiB
tsv: 7.3 MiB",Lookup table of current USPC subclasses (applied retrospectively to all patents),168048,raw (from separate classification files),"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/subclass_current.tsv.zip
grant,usapplicationcitation,usapplicationcitation.tsv.zip,2022-03-15,"usapplicationcitation


zip: 2.0 GiB
tsv: 6.0 GiB",Citations made to US patent applications by US patents,50573718,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/usapplicationcitation.tsv.zip
grant,uspatentcitation,uspatentcitation.tsv.zip,2022-03-15,"uspatentcitation


zip: 4.5 GiB
tsv: 11.6 GiB",Citations made to US granted patents by US patents,121137053,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/uspatentcitation.tsv.zip
grant,uspc,uspc.tsv.zip,2022-03-15,"uspc


zip: 490.6 MiB
tsv: 963.7 MiB",USPC classification data for all patents,18063760,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/uspc.tsv.zip
grant,uspc_current,uspc_current.tsv.zip,2022-03-15,"uspc_current


zip: 619.0 MiB
tsv: 1.2 GiB",Current USPC classification data for all patents up to May 2015,22852958,raw (from separate classification files),"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/uspc_current.tsv.zip
grant,usreldoc,usreldoc.tsv.zip,2022-03-15,"usreldoc


zip: 409.1 MiB
tsv: 1.2 GiB",U.S. related documents (post-2005 patents only),12245208,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/usreldoc.tsv.zip
grant,us_term_of_grant,us_term_of_grant.tsv.zip,2022-03-15,"us_term_of_grant


zip: 94.9 MiB
tsv: 224.3 MiB",U.S. term of grant data,3921900,raw,"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/us_term_of_grant.tsv.zip
grant,wipo,wipo.tsv.zip,2022-03-15,"wipo


zip: 29.7 MiB
tsv: 168.7 MiB",WIPO technology fields for all patents,10551403,raw (from separate classification files),"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/wipo.tsv.zip
grant,wipo_field,wipo_field.tsv.zip,2022-03-15,"wipo_field


zip: 1.5 KiB
tsv: 3.7 KiB",Lookup table of WIPO technology fields,70,raw (from separate classification files),"September 30, 2021",https://s3.amazonaws.com/data.patentsview.org/download/wipo_field.tsv.zip
