title_nlp_multiword_phrases,records
Food Product,135.0
 Microwave Ovens,99.0
 Food Product,44.0
Crust Pizza,41.0
conveyor Oven,40.0
Microwave Ovens,38.0
Bakery Product,34.0
 Making Same,33.0
Baked Product,33.0
Cook Food,32.0
 Pizza Oven,30.0
pizza Box,30.0
 Related Method,29.0
 Microwave Cooking,28.0
microwave Heating,27.0
