title_nlp_multiword_phrases,records
Digital Map System,10.0
conversion Path Performance Measures,9.0
Search Results,7.0
Mobile Device,6.0
 Location Prominence,4.0
 Processing Queries,4.0
Geographical Relevance,4.0
Local Search Results,4.0
Network Speech Recognizers,4.0
Search Query,4.0
 indexing Documents,3.0
 providing Profile Information,3.0
 search Query Categorization,3.0
 Search Ranking,3.0
aspect-Based Sentiment Summarization,3.0
